idperson,name,lastname,birthdate,gender,birthplace,home,studiedat,workplaces,films,groupcode
ALA40,ALAN,HAYAKAWA,11-6-1926,male,Daloa,Aktyubinsk,Ondorhaan,Arhus,Beverly Hills Cop, Home Alone
Agnetta33,Agnetta,Bensson,1-1-1940,female,Sweden,London,Stockholm,London, Oslo, Paris
Arantza22,Aranzazu,Bidaurreta,3-3-1833,female,Larraitz,Amezketa,Tolosa,Nice, Paris,Double Indemnity
BRE19,BRENT,CARLIN,26-1-1908,male,Saint Paul,Gisborne,Adamstown, Aybak, Gorzow Wielkopolski,Bururi
Bizenta223,Bizenta,Juaristi,1-1-1501,female,Azkoitia,La Paz,Onati,Bolivia,12 Angry Men, Fight Club
DEV87,DEVON,CRAPANZANO,23-6-1921,male,Lusaka,Popondetta,Ashgabat, Chitre,Diyarbakir, Nuku' alofa
ESP44,ESPERANZA,HARTZHEIM,31-7-1993,female,Dayr az Zawr,Zacatecoluca,Abakan, Cherkasy, Eisenstadt,Cagliari
Gisella11,Gisella,Fabricci,3-3-1993,female,Torino,Donostia,Rome, UPV/EHU,Donostia, Madrid
Jon232,Jon,Garcia,3-3-1990,male,Donostia,Donostia,LaSalle, Stanford, UPV/EHU,Connecticut
LAT80,LATISHA,HARWARD,26-4-1902,female,Termez,Kawasaki,Bilbao, Kabul, Manisa,Elblag
Leire1,Leire,Alba-Aguirre,5-5-1955,female,Tolosa,Seville,Imperial College, Insti Penaflorida,London, Madrid
MAS12,MASON,JUENGER,22-3-1968,male,Chinandega,Al Kasab,Honolulu,Acapulco, Mbale, Nakhon Ratchasima
Mikel34,Jon Mikel,Lopez de Haro,9-9-1700,male,Bilbao,Caracas,Lizeoa, UPV/EHU,Caracas,Forrest Gump
RAM70,RAMIRO,LOWITZ,14-7-1981,male,Cerro De Pasco,Yen Bai,Haka,Casablanca, Palangkaraya,Forrest Gump
Roberto22,Roberto,Egia,4-4-1933,male,Vitoria-Gasteiz,Vitoria-Gasteiz,Paris-Sorbonne, The Becket School,Paris, Vitoria-Gasteiz
SEE50,SEE,BLEVENS,3-4-1925,female,Las Tablas,Merida,Louang Namtha,Concord, Nykobing, Rijeka
WYA72,WYATT,LUNETTA,7-7-1936,male,Nancy,Polygyros,Lichinga, Nazareth,Osaka,A Beautiful Mind
